userId,localStartTime,localEndTime,utcStartTime,utcEndTime,currentRound,difficultyLevel,sequenceAttempted,buttonMissed,timeSpentInSequence,totalSequencesAttemptedInRound,totalSequencesCorrectInRound,sequenceSuccessPercentageInRound,roundCompleted
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:35:51 AM,10/10/2020 11:35:54 AM,10/10/2020 6:35:51 PM,10/10/2020 6:35:54 PM,1,0 (TUTORIAL),[0] ,,0:01,1,1,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:35:51 AM,10/10/2020 11:35:57 AM,10/10/2020 6:35:51 PM,10/10/2020 6:35:57 PM,1,0 (TUTORIAL),[0] [2] ,,0:01,2,2,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:35:51 AM,10/10/2020 11:36:02 AM,10/10/2020 6:35:51 PM,10/10/2020 6:36:02 PM,1,0 (TUTORIAL),[0] [2] [2] ,,0:01,3,3,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:35:51 AM,10/10/2020 11:36:08 AM,10/10/2020 6:35:51 PM,10/10/2020 6:36:08 PM,1,0 (TUTORIAL),[0] [2] [2] [1] ,,0:01,4,4,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:35:51 AM,10/10/2020 11:36:16 AM,10/10/2020 6:35:51 PM,10/10/2020 6:36:16 PM,1,0 (TUTORIAL),[0] [2] [2] [1] [0] ,,0:02,5,5,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:35:51 AM,10/10/2020 11:36:21 AM,10/10/2020 6:35:51 PM,10/10/2020 6:36:21 PM,1,0 (TUTORIAL),[0] [2] [2] [1] [0] ,,0:07,5,5,1,True
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:36:30 AM,10/10/2020 11:36:33 AM,10/10/2020 6:36:30 PM,10/10/2020 6:36:33 PM,2,1 (BLUE),[2] ,,0:01,1,1,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:36:30 AM,10/10/2020 11:36:38 AM,10/10/2020 6:36:30 PM,10/10/2020 6:36:38 PM,2,1 (BLUE),[2] [1] ,[???],0:03,2,1,0.5,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:36:30 AM,10/10/2020 11:36:44 AM,10/10/2020 6:36:30 PM,10/10/2020 6:36:44 PM,2,1 (BLUE),[2] ,,0:05,3,2,0.6666667,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:36:30 AM,10/10/2020 11:36:50 AM,10/10/2020 6:36:30 PM,10/10/2020 6:36:50 PM,2,1 (BLUE),[2] [1] ,[???],0:03,4,2,0.5,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:36:30 AM,10/10/2020 11:36:55 AM,10/10/2020 6:36:30 PM,10/10/2020 6:36:55 PM,2,1 (BLUE),[2] ,,0:04,5,3,0.6,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:36:30 AM,10/10/2020 11:36:59 AM,10/10/2020 6:36:30 PM,10/10/2020 6:36:59 PM,2,1 (BLUE),[2] [1] ,,0:02,6,4,0.6666667,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:36:30 AM,10/10/2020 11:37:00 AM,10/10/2020 6:36:30 PM,10/10/2020 6:37:00 PM,2,1 (BLUE),[2] [1] ,,0:03,6,4,0.6666667,True
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:37:08 AM,10/10/2020 11:37:12 AM,10/10/2020 6:37:08 PM,10/10/2020 6:37:12 PM,3,2 (GREEN),[3] ,,0:03,1,1,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:37:08 AM,10/10/2020 11:37:17 AM,10/10/2020 6:37:08 PM,10/10/2020 6:37:17 PM,3,2 (GREEN),[3] [4] ,,0:03,2,2,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:37:08 AM,10/10/2020 11:37:24 AM,10/10/2020 6:37:08 PM,10/10/2020 6:37:24 PM,3,2 (GREEN),[3] [4] [3] ,,0:03,3,3,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:37:08 AM,10/10/2020 11:37:30 AM,10/10/2020 6:37:08 PM,10/10/2020 6:37:30 PM,3,2 (GREEN),[3] [4] [3] [2] ,,0:02,4,4,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:37:08 AM,10/10/2020 11:37:37 AM,10/10/2020 6:37:08 PM,10/10/2020 6:37:37 PM,3,2 (GREEN),[3] [4] [3] [2] [0] ,,0:01,5,5,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:37:08 AM,10/10/2020 11:37:38 AM,10/10/2020 6:37:08 PM,10/10/2020 6:37:38 PM,3,2 (GREEN),[3] [4] [3] [2] [0] ,,0:03,5,5,1,True

309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:37:47 AM,10/10/2020 11:37:53 AM,10/10/2020 6:37:47 PM,10/10/2020 6:37:53 PM,4,3 (RED),[0] [3] [5] [4] ,,0:01,1,1,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:37:47 AM,10/10/2020 11:38:02 AM,10/10/2020 6:37:47 PM,10/10/2020 6:38:02 PM,4,3 (RED),[0] [3] [5] [4] [1] ,,0:03,2,2,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:37:47 AM,10/10/2020 11:38:12 AM,10/10/2020 6:37:47 PM,10/10/2020 6:38:12 PM,4,3 (RED),[0] [3] [5] [4] [1] [2] ,,0:04,3,3,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:37:47 AM,10/10/2020 11:38:17 AM,10/10/2020 6:37:47 PM,10/10/2020 6:38:17 PM,4,3 (RED),[0] [3] [5] [4] [1] [2] ,,0:09,3,3,1,True
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:38:29 AM,10/10/2020 11:38:32 AM,10/10/2020 6:38:29 PM,10/10/2020 6:38:32 PM,5,4 (YELLOW),[4] ,,0:02,1,1,1,False
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:38:29 AM,10/10/2020 11:38:59 AM,10/10/2020 6:38:29 PM,10/10/2020 6:38:59 PM,5,4 (YELLOW),[4] ,,0:24,1,1,1,True
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:39:08 AM,10/10/2020 11:39:38 AM,10/10/2020 6:39:08 PM,10/10/2020 6:39:38 PM,6,5 (ORANGE),,,0:26,0,0,0,True
