userId,localStartTime,localEndTime,utcStartTime,utcEndTime,timeInSequence,sessionCompleted,currentSession,totalSequencesAttempted,totalSequencesCorrect,sequencesAttempted,sequencesMissed,sequenceSuccessPercentage
21295a37389f4356bcf3fd8d003c4413,9/21/2020 8:26:55 PM,9/21/2020 8:26:58 PM,9/22/2020 3:26:55 AM,9/22/2020 3:26:58 AM,0:02,False,1,1,1,[0] ,,1
21295a37389f4356bcf3fd8d003c4413,9/21/2020 8:26:55 PM,9/21/2020 8:27:03 PM,9/22/2020 3:26:55 AM,9/22/2020 3:27:03 AM,0:02,False,1,2,1,[0] [2] ,[100],0.5
21295a37389f4356bcf3fd8d003c4413,9/21/2020 8:26:55 PM,9/21/2020 8:27:05 PM,9/22/2020 3:26:55 AM,9/22/2020 3:27:05 AM,0:00,True,1,2,1,[0] [2] ,[100],0.5
21295a37389f4356bcf3fd8d003c4413,9/21/2020 8:27:13 PM,9/21/2020 8:27:16 PM,9/22/2020 3:27:13 AM,9/22/2020 3:27:16 AM,0:01,False,2,1,1,[1] ,,1
21295a37389f4356bcf3fd8d003c4413,9/21/2020 8:27:13 PM,9/21/2020 8:27:22 PM,9/22/2020 3:27:13 AM,9/22/2020 3:27:22 AM,0:03,False,2,2,2,[1] [0] ,,1
21295a37389f4356bcf3fd8d003c4413,9/21/2020 8:27:13 PM,9/21/2020 8:27:24 PM,9/22/2020 3:27:13 AM,9/22/2020 3:27:24 AM,0:05,True,2,2,2,[1] [0] ,,1
21295a37389f4356bcf3fd8d003c4413,9/21/2020 8:27:32 PM,9/21/2020 8:27:36 PM,9/22/2020 3:27:32 AM,9/22/2020 3:27:36 AM,0:03,False,3,1,0,[3] ,[100],0
21295a37389f4356bcf3fd8d003c4413,9/21/2020 8:27:32 PM,9/21/2020 8:27:41 PM,9/22/2020 3:27:32 AM,9/22/2020 3:27:41 AM,0:03,False,3,2,0,[3] ,[100],0
21295a37389f4356bcf3fd8d003c4413,9/21/2020 8:27:32 PM,9/21/2020 8:27:42 PM,9/22/2020 3:27:32 AM,9/22/2020 3:27:42 AM,0:04,True,3,2,0,[3] ,[100],0
e2fd13bce6734853bc6eb7e2c953eca1,9/22/2020 10:10:01 AM,9/22/2020 10:10:06 AM,9/22/2020 5:10:01 PM,9/22/2020 5:10:06 PM,0:03,False,1,1,1,[0] ,,1
e2fd13bce6734853bc6eb7e2c953eca1,9/22/2020 10:10:01 AM,9/22/2020 10:10:11 AM,9/22/2020 5:10:01 PM,9/22/2020 5:10:11 PM,0:03,True,1,2,1,[0] [2] ,[100],0.5

e2fd13bce6734853bc6eb7e2c953eca1,9/22/2020 10:10:20 AM,9/22/2020 10:10:23 AM,9/22/2020 5:10:20 PM,9/22/2020 5:10:23 PM,0:02,False,2,1,1,[1] ,,1
